SITENAME,Year,per_C,error_C,per_H,error_H,per_N,error_N,per_P,error_P,per_O,error_O,np_ratio
SRS1d,2008,34.4875,3.41061181,2.6675,0.019307679,2.5025,0.352878048,0.029245947,7.18E-04,73.8475,2.2129444,189.22
SRS2,2008,41.25666667,1.910168695,2.686666667,0.018567528,3.53,0.13114877,0.039176374,0.0008835,87.60333333,1.001421212,199.25
SRS3,2008,40.64333333,0.760467692,2.536666667,0.017005809,3.55,0.103923048,0.056273972,0.004392072,88.22666667,0.18021592,139.5
SRS4,2008,39.34666667,2.290191647,2.53,0.008552669,2.436666667,0.018559215,0.071106587,0.006667967,86.02,0.331511689,75.78
SRS5,2008,22.39333333,2.519267971,2.39,0.005773503,1.203333333,0.143797697,0.060276387,0.006103603,59.16666667,4.237500574,44.15
SRS6,2008,12.70333333,0.107134391,0.96,0.00096225,0.53,0.015275252,0.041665718,0.005736628,23.58333333,2.872909868,28.13
TS/Ph1,2008,14.54777778,0.333428227,1.137777778,0.008041476,0.881111111,0.030296885,0.005377121,0.004093594,12.87,0.680612469,362.35
TS/Ph10,2008,12.04333333,0.048074017,0.48,0.001924501,0.396666667,0.008819171,0.002800231,0.00139,6.003333333,0.803333333,313.24
TS/Ph11,2008,11.63666667,0.008819171,0.29,0.001924501,0.31,0.011547005,0.003807428,0.000844662,2.94,0.076376262,180.05
TS/Ph2,2008,15.86666667,0.656692047,0.88,0.025018512,0.803333333,0.093511734,0.014782301,0.003316619,11.76,2.356353114,120.17
TS/Ph3,2008,15.29333333,0.280614405,0.706666667,0.009345891,0.703333333,0.037118429,0.008040949,3.50E-04,10.20333333,1.094536939,193.42
TS/Ph4,2008,15.70333333,0.753836484,0.896666667,0.020709174,0.723333333,0.098163695,0.009101762,0.002726414,7.453333333,2.157230735,175.74
TS/Ph5,2008,14.52666667,0.228351581,0.546666667,0.007718024,0.603333333,0.031797973,0.007274588,0.002271577,7.406666667,0.931975202,183.4
TS/Ph6,2008,16.1425,1.507555278,1.3025,0.043991891,0.755,0.137264951,0.007050144,0.002571226,19.3775,9.488534638,236.81
TS/Ph7,2008,14.49666667,0.394729162,1.21,0.005357584,0.623333333,0.003333333,0.025945846,0.004787061,18.19333333,2.874267056,53.13
TS/Ph8,2008,18.09,1.524204711,2.243333333,0.047632207,1.033333333,0.097353879,0.038648656,0.002980467,26.14666667,3.247570032,59.12
